"Jahr";"Stadtbezirk";"Traditionelles Unterschichtmilieu (Anteil der Befragten)";"Neues liberales Unterschichtmilieu (Anteil der Befragten)";"Konservatives Mittelschichtmilieu (Anteil der Befragten)";"Gesellschaftliches Mittelschichtmilieu (Anteil der Befragten)";"Liberales Mittelschichtmilieu (Anteil der Befragten)";"Konservatives bürgerliches Milieu (Anteil der Befragten)";"Liberales bürgerliches Milieu (Anteil der Befragten)";"Alt-FreiburgerInnen - ganztags Berufstätige mit Haupt-/Realschulabschluss (Anteil der Befragten)";"Die Studierenden (Anteil der Befragten)";"Ausländische MitbürgerInnen (Anteil der Befragten)";"Nicht-Berufstätige mit Kindern (Anteil der Befragten)";"Ganztags-Berufstätige mit Hochschulabschluss (Anteil der Befragten)";"Ältere mit Haupt- und Realschulabschluss (Anteil der Befragten)";"Ältere mit Hochschulabschluss (Anteil der Befragten)";"Wohnen Sie gerne in Ihrem jetzigen Wohngebiet? (Kommunalbarometer)";"Sozialer Zusammenhalt im Wohngebiet (Kommunalbarometer)";"Soziales Mißtrauen im Wohngebiet (Kommunalbarometer)";"Wie zufrieden sind Sie mit Ihrer Wohnung? (Kommunalbarometer)";"Zufriedenheit Wohngebiet: sehr zufrieden/zufrieden (Anteil der Befragten)";"Zufriedenheit Wohngebiet: teils/teils (Anteil der Befragten)";"Zufriedenheit Wohngebiet: unzufrieden/sehr unzufrieden (Anteil der Befragten)";"Zufriedenheit mit der Wohnungsausstattung (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit mit den Kosten der Wohnung (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit mit dem sozialen Umfeld/Nachbarschaft (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit mit dem Wohnumfeld (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit mit der Lage der Wohnung (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit mit der Größe der Wohnung (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Lage zur Arbeitsstätte (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Versorgung mit öffentlichen Verkehrsmitteln (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Versorgung mit Waren (z.B. Lebensmittel) (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Versorgung mit Dienstleistungen (z.B. Friseur) (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Versorgung mit Schulen (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Versorgung mit Kindergärten und dergleichen (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Spielmöglichkeiten für Kinder (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: ruhige Lage (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Spazierwege bzw Erholungsmöglichkeiten (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Kontakte zu Nachbarn (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Gestaltung des Wohngebiets (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Erreichbarkeit der Innenstadt (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Wohnsituation (z. B. Preis, Größe, Ausstattung) (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: Außerschulische Bildungsangebote (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Zufriedenheit: sonstiges und zwar (Skala von 0=sehr unzufrieden bis 100=sehr zufrieden)";"Wohnsituation: Mietwohnung (Anteil der Befragten)";"Wohnsituation: Eigentumswohnung (Anteil der Befragten)";"Wohnsituation: eigenes Haus (Anteil der Befragten)";"Wohnsituation: keine Angabe (Anteil der Befragten)";"Anteil Mietkosten"
"2010";"Altstadt-Mitte";4;0;8;50;27;4;8;8;32;11;5;16;14;14;85;61;25;76;73;22;5;66;54;60;71;91;71;88;90;81;86;78;77;56;38;64;60;63;96;55;68;38;73;11;14;3;44
"2010";"Altstadt-Ring";0;4;4;37;22;4;30;8;36;3;3;31;6;14;82;58;30;71;64;33;3;66;55;69;64;87;69;72;79;71;79;78;68;55;49;60;62;60;93;56;72;17;75;14;8;3;37
"2010";"Neuburg";3;3;13;43;13;10;13;5;33;13;7;25;7;10;84;62;23;70;70;23;8;67;56;72;68;91;75;85;72;74;76;78;59;67;72;79;66;67;96;55;74;28;73;25;0;3;38
"2010";"Herdern-Süd";7;2;7;33;15;15;22;14;21;6;13;23;11;13;86;61;24;73;77;17;6;70;61;75;74;86;74;79;71;76;75;80;69;67;64;76;61;68;91;63;59;20;73;20;7;0;39
"2010";"Herdern-Nord";3;0;21;13;15;23;26;10;19;13;8;10;10;29;89;63;20;79;83;10;6;74;65;74;71;82;79;74;73;75;72;80;73;59;74;80;69;70;83;71;61;29;58;15;27;0;34
"2010";"Zähringen";5;3;8;37;10;11;26;12;11;5;15;18;17;21;85;66;28;78;83;14;2;75;62;71;68;76;74;68;69;69;70;70;71;71;70;82;68;65;73;62;54;47;46;24;29;1;34
"2010";"Brühl";6;8;13;55;14;1;3;21;18;15;9;9;23;4;68;53;38;67;67;26;7;70;61;58;52;67;66;75;81;84;73;72;68;58;48;57;57;49;83;59;55;44;89;6;2;3;41
"2010";"Hochdorf";2;2;14;56;2;9;14;19;13;2;17;15;25;9;75;66;34;77;81;17;2;78;59;67;65;70;78;70;68;74;68;68;71;67;63;75;69;59;67;61;61;50;43;15;42;0;35
"2010";"Waldsee";5;0;11;30;16;14;25;14;14;11;9;21;16;16;92;68;21;82;82;16;2;77;64;76;71;83;78;79;87;76;72;78;74;73;75;88;68;70;90;66;65;50;53;21;25;2;35
"2010";"Littenweiler";2;2;14;35;16;12;20;16;9;10;18;18;10;18;89;69;23;77;84;12;4;73;64;77;71;78;74;72;77;65;68;71;72;68;80;87;72;63;79;62;60;42;57;9;31;3;35
"2010";"Ebnet";8;8;6;40;8;10;20;15;9;0;22;26;15;12;90;75;21;79;80;19;2;75;57;80;73;83;77;71;50;33;48;69;69;72;79;88;78;62;63;59;52;0;45;20;32;3;33
"2010";"Kappel";6;9;3;46;11;9;17;18;12;4;14;22;22;6;86;82;18;82;92;8;0;79;65;81;78;80;81;51;62;58;61;72;72;77;86;89;80;69;68;65;54;46;45;6;49;0;31
"2010";"Oberau";2;0;10;40;25;10;13;15;18;10;15;18;16;10;89;61;29;73;75;20;5;75;59;67;67;86;76;75;80;80;74;82;73;70;73;86;63;60;93;58;65;38;69;27;3;0;34
"2010";"Oberwiehre";2;0;10;37;8;10;35;2;14;11;14;33;8;17;94;69;24;75;77;19;3;69;62;77;77;89;73;81;79;83;75;80;70;75;78;90;69;77;90;60;71;11;73;16;10;2;36
"2010";"Mittelwiehre";0;0;0;32;16;10;42;14;24;3;14;27;5;14;93;63;23;81;84;16;0;75;60;77;76;93;80;82;75;89;86;83;74;73;75;91;72;70;93;61;71;35;73;16;8;3;34
"2010";"Unterwiehre-Nord";6;4;9;26;19;13;23;4;29;4;17;29;10;8;86;62;27;79;80;14;6;76;63;72;69;90;78;78;82;82;79;86;77;74;65;75;64;68;93;65;66;0;69;21;6;4;37
"2010";"Unterwiehre-Süd";8;2;15;34;13;9;19;11;14;9;17;17;14;17;88;61;25;75;77;17;6;75;60;71;73;84;76;77;82;78;71;76;68;70;75;84;64;68;87;61;64;0;59;11;26;4;35
"2010";"Günterstal";0;4;8;31;15;19;23;24;5;3;13;18;3;34;90;69;28;76;82;16;3;74;63;74;74;82;79;71;83;32;49;48;77;78;78;93;70;70;86;68;47;25;45;13;37;5;33
"2010";"Stühlinger-Beurbarung";10;14;16;36;20;0;4;16;21;19;12;10;21;2;69;52;46;59;60;23;17;63;53;53;53;73;67;79;82;72;65;78;67;58;47;50;61;56;85;54;45;33;90;3;2;5;43
