"Jahr";"Monat/Jahresdurchschnitt";"Luftdruck (mittl. Wert auf NN reduziert) hPa";"Luftdruck (langjähriger Durchschnitt) hPa";"Lufttemperatur (Mittelwert) oC";"Lufttemperatur (langjähriger Durchschnitt) oC";"Lufttemperatur (Höchstwert) oC";"Tagesdatum des Höchstwertes (der Lufttemperatur)";"Lufttemperatur (Tiefstwert) oC";"Tagesdatum des Tiefstwertes (der Lufttemperatur)";"Sommertage (max. 25 oC bis unter 30 oC)";"Heiße Tage (max. 30 oC und mehr)";"Frosttage (min. unter 0 oC)";"Eistage (max. unter 0 oC)";"Sonnenscheindauer h";"Sonnenscheindauer (langjähriger Durchschnitt) h";"Luftfeuchtigkeit (relative Feuchte) %";"Luftfeuchtigkeit (relative Feuchte, langjähriger Durchschnitt)  %";"Niederschläge  mm";"Niederschläge (langjähriger Durchschnitt) mm";"Niederschläge (Höchstwert in 24 Std.) mm";"Tagesdatum des Höchstwertes (der Niederschläge)";"Tage mit Regen";"Tage mit Schneefall";"Tage mit Regen und Schneefall";"Tage mit einer Schneedecke (mind. 50% des Bodens schneebedeckt)";"Tage mit Hagel/Graupel";"Tage mit Nebel";"Tage mit Gewitter"
"2013";"März";1008,7;1017,7;3,5;7,4;17,1;"";-7,6;"";0;0;17;0;79,1;133,1;79;68;37,7;64,5;7,5;"";19;0;0;0;0;0;0
"2013";"April";1015,3;1014,5;10,5;10,9;25,4;"";-4,9;"";2;0;5;0;122,4;167,9;69;64;60,7;73;25,4;"";14;0;0;0;0;0;0
"2013";"Mai";1012,6;1015,2;12,1;15,4;23,7;"";2,7;"";0;0;0;0;112,9;201,4;79;66;158,7;109,2;39;"";28;0;0;0;0;0;0
"2013";"Juni";1018,1;1016,4;17,5;18,6;34,5;"";3,8;"";12;3;0;0;232,2;227;71;65;56,2;92;16,2;"";14;0;0;0;0;0;0
"2013";"Juli";1018,5;1016,6;21,3;20,8;38,3;"";8,4;"";25;7;0;0;317,3;248,6;69;64;70,5;95,2;33,7;"";9;0;0;0;0;0;0
"2013";"August";1018;1016,3;19,2;20,2;35,7;"";8,1;"";16;6;0;0;245,3;233,5;72;66;72,4;86,1;22,9;"";13;0;0;0;0;0;0
"2013";"September";1016,9;1017,4;15,5;16,1;30,8;"";5,1;"";4;2;0;0;153,3;173;81;72;112,2;86,7;22,2;"";16;0;0;0;0;0;0
"2013";"Oktober";1017,6;1017,6;12,6;11,6;23,9;"";-1,2;"";0;0;1;0;110,1;116,6;84;79;149,8;82,8;31,7;"";19;0;0;0;0;0;0
"2013";"November";1017,9;1018,1;5,5;6,3;17,7;"";-7,7;"";0;0;10;0;56,1;71,1;84;80;99,5;66,6;25,4;"";17;0;0;0;0;0;0
"2013";"Dezember";1024,3;1019,2;3,2;3,5;17,2;"";-6,6;"";0;0;20;2;99,3;53,1;83;80;100,3;75,2;41,3;"";12;0;0;0;0;0;0
"2013";"Jahresdurchschnitt";1016,8;1017,5;10,3;11,4;38,3;"";-13,7;"";59;18;95;12;1604;1778,9;79;72;1019;928,8;41,3;"";195;0;0;0;0;0;0
"2014";"Januar";1011,7;1021,2;5;2,5;15,9;"";-6,3;"";0;0;15;0;60,3;64;82;79;55;48;10,9;"";19;0;0;0;0;0;0
"2014";"Februar";1011;1019,7;6,1;3,5;15,5;"";-4,8;"";0;0;14;0;91,3;89,6;74;75;69,5;49,5;16,5;"";19;0;0;0;0;0;0
"2014";"März";1017,9;1017,7;8;7,4;22,3;"";-4,4;"";0;0;16;0;213,9;133,1;68;68;13,7;64,5;7;"";7;0;0;0;0;0;0
"2014";"April";1015;1014,5;11,9;10,9;24,7;"";-2,7;"";0;0;2;0;186,3;167,9;69;64;59,9;73;24,4;"";11;0;0;0;0;0;0
"2014";"Mai";1016,6;1015,2;14;15,4;27,5;"";1,3;"";4;0;0;0;191,6;201,4;71;66;73,4;109,2;13,5;"";19;0;0;0;0;0;0
"2014";"Juni";1016,5;1016,4;18,9;18,6;36,3;"";6,3;"";14;5;0;0;286,1;227;61;65;41,9;92;13,2;"";7;0;0;0;0;0;0
"2014";"Juli";1014,4;1016,6;19,2;20,8;33,4;"";7,3;"";12;4;0;0;185,9;248,6;78;64;279,7;95,2;38,4;"";19;0;0;0;0;0;0
"2014";"August";1015,1;1016,3;17,6;20,2;29,1;"";7;"";8;0;0;0;195,5;233,5;75;66;72,6;86,1;15,8;"";20;0;0;0;0;0;0
"2014";"September";1018,2;1017,4;15,8;16,1;27,4;"";2,6;"";7;0;0;0;170,7;173;83;72;60,7;86,7;26,8;"";9;0;0;0;0;0;0
"2014";"Oktober";1018;1018,1;13,3;11,6;25,8;"";0,4;"";1;0;0;0;142;116,6;84;79;65,1;82,8;16,3;"";17;0;0;0;0;0;0
"2014";"November";1012,9;1018,1;7,6;6,3;20,8;"";-0,6;"";0;0;2;0;59,6;71,1;91;80;77,7;66,6;24,1;"";13;0;0;0;0;0;0
